x,y,z,z_ft,magnitude,lon,lat,year,month,day
628312.515542811,3663125.2636110783,-6865.440777600001,-22524.412,1.5,-115.62495000050585,33.09919999901925,1981.0,4.0,22.0
628162.8579302586,3663006.8645560155,-8090.5005576,-26543.637,1.5,-115.62657000128951,33.098149999523905,1981.0,4.0,22.0
627683.6511490636,3662534.849476838,-7805.4866496,-25608.552,1.3,-115.63176999981243,33.0939499994215,1981.0,4.0,23.0
630212.1498769312,3626109.173611195,-13253.752512000001,-43483.44,2.96,-115.60982999981593,32.765170000945986,1981.0,4.0,23.0
628484.6539246978,3663237.3066089344,-7075.4510256,-23213.422,1.48,-115.62308999966481,33.100189998984064,1981.0,4.0,24.0
628543.5058066387,3663304.615769097,-7134.453904800001,-23407.001,1.64,-115.62244999928095,33.10078999943481,1981.0,4.0,24.0
628878.5069597154,3663594.019201517,-5985.397833600001,-19637.132,1.09,-115.61881999976347,33.103359999950236,1981.0,4.0,24.0
628537.0897036904,3663295.660167712,-7148.4545880000005,-23452.935,1.48,-115.62252000088651,33.10071000106011,1981.0,4.0,24.0
628461.6291880386,3663213.71685544,-7177.4560032,-23548.084,2.72,-115.62334000010011,33.09998000067868,1981.0,4.0,24.0
628303.9826013424,3663064.160161369,-7401.466934399999,-24283.028,1.1,-115.62505000076501,33.098649999367446,1981.0,4.0,24.0
628551.4968603575,3663335.7712333575,-6846.4398504,-22462.073,1.41,-115.62235999985128,33.10107000108264,1981.0,4.0,24.0
628369.9272856178,3663231.3657057146,-5841.390806400001,-19164.668,1.88,-115.62431999855174,33.10015000008278,1981.0,4.0,24.0
627956.5763982866,3662721.387278467,-6323.414328000001,-20746.11,1.66,-115.62881999988059,33.09560000094847,1981.0,4.0,24.0
628562.7972754219,3663328.157036865,-7209.457564800001,-23653.076,1.44,-115.62223999926762,33.1010000007762,1981.0,4.0,24.0
627922.1473311299,3662713.17480028,-6246.410570400001,-20493.473,1.55,-115.62918999904602,33.09553000100729,1981.0,4.0,24.0
627853.4481709318,3662684.5539058405,-6184.4075448,-20290.051,1.0,-115.62992999891893,33.09528000032246,1981.0,4.0,24.0
627862.5054794167,3662705.74209239,-6373.416768,-20910.16,1.6,-115.62983000077621,33.09547000135507,1981.0,4.0,24.0
628711.5849010443,3663511.9788437174,-5113.35528,-16776.1,1.53,-115.62061999873329,33.10264000066479,1981.0,4.0,24.0
628691.5357559947,3663475.1199351214,-6905.442729599999,-22655.652,1.46,-115.6208400004958,33.102309998878624,1981.0,4.0,24.0
628702.4133127981,3663499.6598025486,-7189.4565888,-23587.456,1.2,-115.62071999996994,33.10252999999034,1981.0,4.0,24.0
628447.3567026525,3663305.5714421337,-5983.397736,-19630.57,1.0,-115.62347999877827,33.10080999954937,1981.0,4.0,24.0
628841.3110845021,3663583.549083118,-6137.405251200001,-20135.844,1.65,-115.61922000109996,33.103270000800116,1981.0,4.0,24.0
628803.4739716268,3663550.8915145188,-6327.4145232,-20759.234,1.73,-115.61963000049612,33.10297999883199,1981.0,4.0,24.0
628725.8159192466,3663494.4228850342,-6453.420672,-21172.64,1.03,-115.62046999958562,33.10248000021001,1981.0,4.0,24.0
628415.933272248,3663281.8713526633,-5901.3937344,-19361.528,1.79,-115.6238199984032,33.100599999190386,1981.0,4.0,24.0
628370.0145297846,3663224.713115532,-5882.3928072,-19299.189,1.5,-115.62431999857024,33.1000899992029,1981.0,4.0,24.0
628475.2946226513,3663310.3738759942,-5548.376508,-18203.335,1.7,-115.62317999867865,33.10084999963018,1981.0,4.0,25.0
628531.0975107017,3663325.5227236818,-5364.3675288,-17599.631,3.94,-115.6225799993635,33.10097999972925,1981.0,4.0,25.0
628078.0065086541,3662786.1845052238,-7568.475084000001,-24830.955,3.04,-115.62750999923225,33.096170000505886,1981.0,4.0,25.0
